initial_preference_width,social_signal_weight,initial_distribution,seed,initial_mean_extremity,final_mean_extremity,final_opinion_variance,final_extreme_share,final_preference_width,final_acceptance_rate,final_backfire_rate,final_opinion_bimodality
1.0,0.6,moderate,5,0.19748879633157948,0.5573598223109937,0.42395468402097747,0.39,0.3322407229396927,0.4808,0.13355,1.6559014397163716
1.0,0.6,moderate,6,0.21901476323888808,0.6297300690536657,0.506106828479789,0.53,0.33316868207941197,0.5007,0.1297,1.8812732453874745
1.0,0.6,moderate,7,0.2002474460420165,0.6392373401909373,0.5016714670419649,0.495,0.3457739811115975,0.4921,0.12555,2.024243967485327
1.0,0.6,moderate,8,0.19119531250627553,0.5935315028533803,0.4571844350972432,0.435,0.34111911878518325,0.4838,0.12695,1.8325704630526758
1.0,0.6,moderate,9,0.20220466395051684,0.6006822682854844,0.4726955426886192,0.475,0.3386733167635761,0.49445,0.12745,1.7890355273583622
1.0,0.6,moderate,10,0.18684549306487042,0.5862021397437893,0.45149554126244523,0.445,0.33556370133019486,0.48015,0.1302,1.7602068674589604
1.0,0.6,moderate,11,0.19180527206623155,0.6196572112207054,0.487810206988582,0.475,0.330694406303034,0.49255,0.1309,1.8037547711380135
1.0,0.6,moderate,12,0.20517914555741168,0.6027132686772316,0.46541132840470867,0.455,0.33597406451096873,0.49635,0.1285,1.877902414426078
1.0,0.6,moderate,13,0.21192523284736794,0.6226071375992506,0.4916267051950022,0.51,0.3396565027543137,0.50655,0.12645,1.9140276432124679
1.0,0.6,moderate,14,0.19092941132973562,0.585657013818438,0.45363943357983305,0.445,0.33247311113418265,0.4977,0.12995,1.7293053922304962
1.0,0.6,moderate,15,0.1888376714811352,0.561884201441961,0.42557886917297544,0.395,0.33440039164086116,0.486,0.12965,1.6919166685207434
1.0,0.6,moderate,16,0.19572519600279578,0.5889181483733898,0.4599436251848785,0.46,0.3403392412539834,0.49935,0.126,1.7427765689502388
1.0,0.6,moderate,17,0.19795430524760282,0.5724520985215261,0.4384444198619913,0.435,0.32716703437431455,0.4903,0.133,1.6776931269006288
1.0,0.6,moderate,18,0.20759801748039938,0.6141251626141501,0.48260898082430453,0.465,0.3287320920445126,0.4895,0.1319,1.8562527833878166
1.0,0.6,moderate,19,0.20204715069354023,0.6366656458079891,0.5006771079014356,0.525,0.34301732634879806,0.50195,0.1245,1.8905142133288078
1.0,0.6,moderate,20,0.2104725075659386,0.5768591504293682,0.4472268143971369,0.435,0.3360397659646421,0.5026,0.128,1.70880481328007
1.0,0.8,moderate,1,0.18731966894261995,0.5389348648406931,0.40632525942468944,0.395,0.3276955758658106,0.48415,0.13375,1.58076105175923
1.0,0.8,moderate,2,0.18733403734588563,0.5130793488145541,0.3799620897003129,0.35,0.3318269596281837,0.48805,0.13135,1.500581155823749
1.0,0.8,moderate,3,0.1868605646654679,0.5753370564948793,0.42966454352680855,0.4,0.33301533646003684,0.48555,0.13305,1.832249271274724
1.0,0.8,moderate,4,0.1968999683995068,0.6206500079626251,0.4858014555195045,0.485,0.3376437897957906,0.498,0.1294,1.9366588032403214
